 Mar 7th 2019 	 The London Stock Exchange is thriving despite Brexit 	['WHEN LSE Group, the parent company of the London Stock Exchange, Europe’s largest, released its 2018 annual results on March 1st, there was an elephant on the trading floor. During the hour-long earnings call, LSE’s boss, David Schwimmer, mentioned Brexit just eight times. Six of those occasions came after slide 28.', 'Mr Schwimmer need not have been so cautious. Britain may be in political turmoil and banks may be shifting jobs and assets out of London, but Brexit is doing little to perturb LSE. Last year the group’s revenue grew by 8% and its operating profit by 15%. Its share price is up by 22% since December. LSE did announce 250 job cuts, 5% of its staff, but after 27 acquisitions and investments in the past decade, it has some tidying to do. It retains five different offices in New York, for example.']
 Mar 7th 2019 	 Prices of prime properties around the world are falling 	['ONE BLACKFRIARS soars into the sky from the south bank of the River Thames, announcing its presence to central London. The new 50-storey tower contains 274 luxury flats that range in value from a merely expensive £1m ($1.3m) to an eye-watering £15m. Thanks to its distinctive midriff the building has been nicknamed “The Tummy” by Robert Shiller, who won a Nobel economics prize for his work on spotting asset bubbles. The name might also apply to London’s bloated housing market. Prices have nearly doubled since 2009.', 'It is not only in London that property values bulged in the decade after a housing bust that nearly took down the world’s financial system: prices are near new highs in many places, according to The Economist’s latest roundup of global housing markets (see chart). In five of the world’s most desirable cities—Hong Kong, London, New York, Sydney and Vancouver—home prices climbed steadily for several years after 2009.']
 Mar 9th 2019 	 China’s trading day is starting to influence global markets 	['IN HIS BOOK “The Death of Gentlemanly Capitalism”, Philip Augar described a shift in the culture of London’s financial industry during the 1980s and 1990s. The old City of public-school amateurism, late starts, early finishes and long, boozy lunches disappeared. In its place, a new City emerged under the sway of American investment banks. The morning meeting started two hours earlier. Lunch was a sandwich at your desk. And instead of port and cigars, try mineral water.', 'It was time to sober up, too, because America’s influence on the London market went well beyond the acquisition by its banks of a few old-school stockbrokers. America was home to much of the world’s capital. As more buying and selling of assets took place across borders and time zones, the New York trading day set the tone for markets everywhere else. A City broker had to be at his desk, and with his wits about him, when the New York market opened just after lunchtime in London.']
 Mar 7th 2019 	 More banks are caught up in money-laundering scandals 	['THE MONEY-LAUNDERING scandal that struck Danske Bank last year was staggering. The Danish lender’s Estonian branch is suspected of handling up to $230bn of iffy funds from former Soviet states. Aftershocks are rumbling under other European banks. Shares in Austria’s Raiffeisen Bank International tumbled by more than 12% on March 5th after a complaint was filed accusing it (and, to a lesser extent, other Austrian banks) of “gross negligence or acquiescence” in connection with suspicious flows from Danske. Raiffeisen says it is investigating.', 'Raiffeisen is just the latest bank to be suspected of channelling dirty money from Europe’s eastern fringes. Helsinki-based Nordea and Sweden’s Swedbank are among those embroiled in the Danske affair. Swedbank’s share price has shed 18% since it was linked to Danske last month (see chart). Some banks have been stained by a separate scheme, the “Troika Laundromat”. European banks caught up in such allegations have lost €20bn ($22.6bn) or so in stockmarket value in the past six months.']
 Mar 7th 2019 	 National development banks are back in vogue 	['TONY OKPANACHI could be a dealmaker in the City of London or on Wall Street. Smart tie, winning smile, he recounts his 28-year career as a high-flying financier, from his MBA to his last private-sector job as an executive at Ecobank, a pan-African lender. He says profits are important and dismisses handouts to small businesses as “government largesse”. Yet appearances can deceive. “I’m an economist by training, and a commercial banker by profession,” he says. “Now I’m a development banker.”', 'Mr Okpanachi is the boss of Development Bank of Nigeria (DBN), a wholesale lender to small firms that started operating in 2017. His institution is part of a proliferation of national development banks (NDBs) worldwide. Kevin Gallagher, of Boston University, and Rogerio Studart, of the Federal University of Rio de Janeiro, believe there are more than 250, with total assets of $4.9trn, four times those of multilateral peers. Poor countries account for over three-quarters of the tally, but NDBs are also popular in the rich world. France and Canada have recently opened three between them. Myanmar and Ghana are rolling out new ones. Britain unusually, has no NDB—but some politicians want one.']
 Mar 7th 2019 	 Spooked by slowdown, the ECB rolls out stimulus 	['THE EUROPEAN CENTRAL BANK is usually a predictable beast, shy of springing monetary-policy surprises. Take, for instance, its move to halt new asset purchases last year: it had been telegraphed for so long that traders could have got away with sleeping through it.\xa0', 'But anyone dozing on a trading floor on March 7th would have been in trouble. The ECB announced two measures to counter a slowing of the euro zone’s economy. The bank pledged to keep interest rates on hold for longer—“at least through the end of 2019”—having previously said it would keep rates at rock-bottom until the summer. And it announced a third round of “targeted longer-term refinancing operations” (TLTRO-III), which will make cheap loans to banks. The euro fell by 0.6% against the dollar, to its lowest level against the greenback since mid-November.']
 Mar 7th 2019 	 Why did the China shock hurt so much? 	['THE PEOPLE\xa0of Des Moines, Iowa, are no strangers to economic upheaval. When a wave of Japanese imports arrived in America in the 1980s, their city was one of the places most vulnerable to the new competition. In 1974, 4,500 of them worked at making farm machinery and equipment. As many again made tyres and inner tubes. By 1990 only a little over half of those jobs were left. Yet in the intervening 16 years thousands of new jobs had sprouted, in life insurance, building materials and the restaurant trade. In 1990 Des Moines’ unemployment rate was below 4%, less than the national average of 5.6%.', 'Not everyone fared as well. Mary Kate Batistich and Timothy Bond, of Purdue University, have recently estimated that the “Japan shock” explains about one-fifth of the fall in African-Americans’ labour-force participation between 1970 and 1990. But Des Moines’ experience was typical. Kerwin Kofi Charles, Erik Hurst and Mariel Schwartz, of the University of Chicago, found that local declines in manufacturing employment in the 1980s were not associated with increases in local unemployment rates.']
 Mar 7th 2019 	 Italy’s “citizens’ income” programme may be expensive and ineffective 	['TELLERS IN POST offices across Italy dreaded being overwhelmed on March 6th, the first day of applications for the “citizens’ income”. In the event, claims came in a steady stream rather than the feared flood: 35,653 of them. (Another 8,492 were filed online.) Luigi Di Maio, leader of the Five Star Movement, which became the biggest parliamentary party at last year’s general election, hailed the launch of his signature policy as a “revolution”. But critics say the scheme is unaffordable and could blunt the incentive to work.', 'Despite its name, the citizens’ income is aimed at the poorest Italians—more than 5m live in poverty, or 8.4% of the population, up from 3.9% a decade ago. Eligible applicants must earn less than €6,000 ($6,780) a year, have less than €6,000 in the bank, and cannot own a car that is less than six months old. Cheats run the risk of up to six years in jail.']
 Mar 7th 2019 	 China’s economy might be nearly a seventh smaller than reported 	['FOR A COUNTRY that is regularly accused of manipulating its statistics, China is remarkably diligent about collecting them. The government has dispatched two million boffins to visit companies, stores and even street stalls in the first few months of this year, as part of a new national economic census. Ads plastered on billboards implore people to co-operate. In a flashy promotional video on its website, the national statistics bureau warns that any fabrication of data is against the law.', 'But these laudable efforts do not appear to be solving the basic problems with Chinese statistics. A new paper, by Chang-Tai Hsieh of the University of Chicago and three co-authors from the Chinese University of Hong Kong, finds that industrial output and investment have been consistently embellished. As a result, they argue that China overstated real GDP growth by two percentage points on average every year from 2008 to 2016 (see chart). Over time that adds up: official figures for 2016 would have exaggerated the size of the economy by 16%, or more than $1.5trn.']
 Feb 28th 2019 	 The Federal Reserve reviews its monetary-policy framework 	['SARA GORATH was a little surprised when she was asked to speak at an event held by the Dallas Federal Reserve. What could a woman who runs a food bank have to say about monetary policy? On February 25th she found herself describing to Richard Clarida, vice-chairman of the Federal Reserve, the problems her customers face, including “how do you cut open a butternut squash if you don’t have a sharp knife?”', 'The event was the first of many “Fed Listens” sessions, part of an official review of the Fed’s monetary-policy framework. In addition to the likes of Ms Gorath, the Fed will hear from business and trade-union leaders, as well as academics. If the economy were a squash, monetary policymakers want advice on how to carve it.']
